layer,q,k,v,o
0,0.6582986831665039,0.914098858833313,0.8929310441017151,0.6725121021270752
1,0.5582232475280762,0.8413896560668945,0.8714643120765686,0.6831964492797852
2,0.6719658851623536,0.8944498300552368,0.9248382449150085,0.7238614082336425
3,0.6749749660491944,0.9011930227279663,0.9339274764060974,0.7313610553741455
4,0.6953782558441162,0.9128182530403137,0.9394336938858032,0.7339903831481933
5,0.6838887691497803,0.9036418795585632,0.9121638536453247,0.7102588176727295
6,0.7002522945404053,0.8951405882835388,0.9254682064056396,0.7032726287841797
7,0.7261409759521484,0.9158732891082764,0.9606836438179016,0.7479140281677246
8,0.7294496536254883,0.9181050062179565,0.9547824263572693,0.7440921783447265
9,0.714033555984497,0.9197293519973755,0.9270865321159363,0.7214224338531494
10,0.7197291851043701,0.9090830683708191,0.9471079111099243,0.7374367713928223
11,0.7201741218566895,0.915892481803894,0.9598864912986755,0.7412555694580079
12,0.7041175365447998,0.900208592414856,0.9358617663383484,0.7168302536010742
13,0.7040731906890869,0.8916898965835571,0.9525046944618225,0.7155004978179932
14,0.7017772197723389,0.9003936648368835,0.9514487981796265,0.7213880538940429
15,0.7104796886444091,0.8961814045906067,0.9431411027908325,0.7333746433258057
16,0.6997055530548095,0.8982734680175781,0.9482222199440002,0.7218711376190186
17,0.6864135265350342,0.8812286853790283,0.9324665665626526,0.723225212097168
18,0.6787634372711182,0.8742154240608215,0.9353652000427246,0.718434476852417
19,0.6874407291412353,0.8787600994110107,0.9409714341163635,0.725236463546753
20,0.6965058803558349,0.8682522177696228,0.9515340924263,0.7289280891418457
21,0.6823349952697754,0.8593226075172424,0.95162034034729,0.7261797428131104
22,0.6992159366607666,0.8738111257553101,0.9496720433235168,0.7333907127380371
23,0.691411304473877,0.8771458268165588,0.9509843587875366,0.7375113487243652
24,0.6912603378295898,0.8637194633483887,0.9550756812095642,0.7248291969299316
25,0.704691219329834,0.8897785544395447,0.95787513256073,0.7194197177886963
26,0.711833381652832,0.8876305222511292,0.9609068036079407,0.7489739894866944
27,0.7179577350616455,0.9018193483352661,0.95368492603302,0.7397845268249512
28,0.688671064376831,0.8581634163856506,0.9489532113075256,0.73098726272583
29,0.7271687030792237,0.9030741453170776,0.9578344821929932,0.7535212516784668
30,0.7340113639831543,0.9152930974960327,0.9655070304870605,0.7639232158660889
31,0.7448625087738037,0.9115720987319946,0.9482389688491821,0.7613855838775635
32,0.7535916805267334,0.923328161239624,0.9579897522926331,0.7729546070098877
33,0.7480360507965088,0.9032773971557617,0.9407471418380737,0.7731986522674561
34,0.727829885482788,0.8867374658584595,0.9194141030311584,0.7651079654693603
35,0.7161448955535888,0.865993857383728,0.9038737416267395,0.7836711406707764
36,0.7445336818695069,0.910062849521637,0.9689273238182068,0.7712102890014648
37,0.7354134082794189,0.8949122428894043,0.9195693135261536,0.7701915740966797
38,0.7377568244934082,0.8909465074539185,0.9592307806015015,0.7480995178222656
39,0.7607504844665527,0.9110145568847656,0.9615131616592407,0.7470215797424317
