layer,log_eig_mean
0,-9.64283518808178
1,-9.598591558395475
2,-9.538097327324849
3,-9.50162542708611
4,-9.502049634322418
5,-9.483493673094603
6,-9.351982137009863
7,-9.273635685965873
8,-9.214078552337485
9,-9.2138574349548
10,-9.251230145077706
11,-9.248972793925418
12,-9.272209701483964
13,-9.245400439621374
14,-9.264108700461561
15,-9.24226688146452
16,-9.27222595195151
17,-9.270691502679206
18,-9.260059958745673
19,-9.278681075501748
20,-9.263094757723426
21,-9.244419562703118
22,-9.267155046509334
23,-9.261376278446052
24,-9.269648621171312
25,-9.26589049402369
26,-9.267724998470142
27,-9.2603487223818
28,-9.264459496826873
29,-9.270240473310254
30,-9.290368784144057
31,-9.30344012277634
32,-9.31886393414242
33,-9.346799094119921
34,-9.536167026668185
35,-9.570481851854796
